a,b,sum,carry, OF
 5599221927511852972, -9073391711843153140, -3474169784331300168, 0, 0
  125843118319673708, -7029686126400350234, -6903843008080676526, 0, 1
-6626586882120967886,  3892734086233570300, -2733852795887397586, 0, 1
-7567988178298816346, -7189453062790077394,  3689302832620657876, 1, 1
  592745535363237000, -4295411505309829984, -3702665969946592984, 0, 1
 6778898353225019333, -1396929036405534772,  5381969316819484562, 1, 0
  290312938777992501, -1693503905809697010, -1403190967031704508, 0, 0
 8575157146419222516, -7446083003105828759,  1129074143313393758, 1, 0
 7805619934991066976, -2329683517538619121,  5475936417452447856, 1, 1
-8457326708746248500,  8933545440415771134,   476218731669522634, 1, 0
-8384498550222719207, -8225720462311965122,  1836525061174867288, 1, 1
 5016413531290329547,  1620835055772151393,  6637248587062480939, 0, 1
-2396720075021124139,  6565060624351548898,  4168340549330424760, 1, 0
 8756096006914685648,  6301982416632616723, -3388665650162249244, 0, 0
-1470614879829494579,  7804960753217598729,  6334345873388104149, 1, 1
 8101314306412321434,  1696026836459731456, -8649402930837498726, 0, 0
 4547028640344879775,  5779657945713253054, -8120057487651418786, 0, 1
  -33533027650960088, -8632004510834332950, -8665537538485293038, 1, 0
   23096905326066765,  2999616570516881122,  3022713475842947888, 0, 1
-6892050368127303954, -7633741690204480755,  3920952015377766908, 1, 1
-6397533401812556077, -3133095051764846338,  8916115620132149202, 1, 0
 -983611311585121236,  3302033551291320904,  2318422239706199668, 1, 1
 -805828812241324012,  4736977790225120819,  3931148977983796808, 1, 1
 1650135588792804994, -8419705584332514078, -6769569995539709084, 0, 1
-1904179175795330685,  3071518122021549527,  1167338946226218841, 1, 0
-8433565248075562662, -4090755593447856424,  5922423232186132530, 1, 0
 -320229163522459137,  4466698140372028545,  4146468976849569407, 1, 0
-8365352515154385149, -1769744562461170822,  8311646996093995646, 1, 1
 8029209101778457407, -1006764421977267873,  7022444679801189533, 1, 1
-7879697700913105533,  4349686864040919313, -3530010836872186221, 0, 0
-9178873047882275028,  6373368831946348467, -2805504215935926560, 0, 0
-1040351340750794157,  6979047705648197226,  5938696364897403070, 1, 1
-7951068199080547545,   126450605476960587, -7824617593603586959, 0, 0
  508134022164865434, -6778824846222629381, -6270690824057763946, 0, 1
 7445457076962022293,   526114371417462296,  7971571448379484590, 0, 0
 7305544011324269284,  7582579546691878039, -3558620515693404292, 0, 1
 1541735455966452900,  6635438977702751350,  8177174433669204250, 0, 1
 2854214096686148420,  8665504473906395854, -6927025503117007342, 0, 1
 -390946583210668124, -7330767894173261531, -7721714477383929654, 1, 1
-5952159258982133892,  7568652153372798727,  1616492894390664836, 1, 1
 8145744869005091707,  4461747306444515747, -5839251898259944163, 0, 1
 5838672863886387925, -5767041004222008892,    71631859664379034, 1, 0
 5960862500006112157, -7385299919714859628, -1424437419708747470, 0, 1
 4267292917629836517, -6516967423072778865, -2249674505442942349, 0, 1
 4137580239285775024, -5149329293057986514, -1011749053772211490, 0, 0
 2643023670507015526,  7919885665873411609, -7883834737329124480, 0, 0
-5538938435248079156, -3453923133049803546, -8992861568297882702, 1, 0
 8910022516601562726,  5594503716843436989, -3942217840264551900, 0, 1
 6909142613382597738, -1218515048110619699,  5690627565271978040, 1, 0
-2386127518659592150, -6846767655301744517,  9213848899748214950, 1, 1
-6815849060657679249, -1228202050904613620, -8044051111562292868, 1, 1
 5714779459212850260,  7190423059372391560, -5541541555124309796, 0, 0
-7255729558549911617,  7987520561947225693,   731791003397314075, 1, 0
  948429068982750254,  4005140714472405259,  4953569783455155514, 0, 0
 7796570658536682580,  6990487115605157645, -3659686299567711390, 0, 0
 -637888390100998310, -3077813523392619824, -3715701913493618134, 1, 0
 4238264959324070591,   -37965819277855933,  4200299140046214657, 1, 0
 6269537513499946930,  4134729987642894407, -8042476572566710278, 0, 0
 8834074481322271560, -3518289805054397606,  5315784676267873954, 1, 1
-6310058247795273022,  3512022914817055364, -2798035332978217658, 0, 1
 7289839610128698002,  4762495609653693642, -6394408853927159972, 0, 1
-5766864379392692915,  5553070326130275748,  -213794053262417166, 0, 0
 8338095794085366770, -5954190803751878943,  2383904990333487828, 1, 0
-6687412454855600462, -8619334172319419082,  3139997446534532072, 1, 1
 3893242104366499047, -9165869667202848176, -5272627562836349128, 0, 1
 8719075204911463153, -8507833250647803401,   211241954263659751, 1, 0
-7926563180461026709, -1317678225756220373,  9202502667492304533, 1, 1
 8530703474273415522,  8886787539172512471, -1029253060263623622, 0, 1
 -707292090388796837,  -597562586826919610, -1304854677215716446, 1, 1
-5568953431868867803, -4278512197784715079,  8599278444055968733, 1, 1
 7162696349164539316, -8616280970915535594, -1453584621750996278, 0, 0
